Price,Levy,Manufacturer,Model,ProdYear,Category,LeatherInterior,FuelType,EngineVolume,Mileage,Cylinders,GearBoxType,DriveWheels,Doors,Wheel,Color,Airbags
13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005,6,Automatic,4x4,4,Left,Silver,12
16621,1018,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000,6,Tiptronic,4x4,4,Left,Black,8
8467,0,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000,4,Variator,Front,4,Right,Black,2
3607,862,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966,4,Automatic,4x4,4,Left,White,0
11726,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901,4,Automatic,Front,4,Left,Silver,4
39493,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,160931,4,Automatic,Front,4,Left,White,4
1803,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909,4,Automatic,Front,4,Left,White,12
549,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118,4,Automatic,Front,4,Left,Grey,12
1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069,4,Automatic,Front,4,Left,Black,12
26657,0,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500,6,Automatic,4x4,4,Left,Silver,12
941,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467,6,Automatic,Rear,4,Left,White,12
8781,0,FORD,Transit,1999,Microbus,No,CNG,4,0,8,Manual,Rear,2,Left,Blue,0
3000,0,OPEL,Vectra,1997,Goods wagon,No,CNG,1.6,350000,4,Manual,Front,4,Left,White,4
1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038,6,Automatic,Front,4,Left,White,12
59464,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,76000,4,Automatic,Front,4,Left,White,4
549,1079,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,74146,4,Automatic,Front,4,Left,White,12
7683,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840,4,Automatic,Front,4,Left,Blue,12
28382,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317,4,Automatic,Front,4,Left,White,4
549,2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059,6,Automatic,Rear,4,Left,Blue,12
941,1850,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523,6,Automatic,4x4,4,Left,Black,12
18826,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645,4,Automatic,Front,4,Left,Silver,4
20698,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000,4,Automatic,Front,4,Left,White,12
17562,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709,4,Automatic,Front,4,Left,Black,12
7840,0,FORD,Transit,2001,Microbus,No,Diesel,2.0 Turbo,230000,4,Manual,Front,2,Left,White,0
4704,0,OPEL,Vectra,1995,Sedan,No,Petrol,1.8,0,4,Automatic,Front,4,Left,Green,4
20385,0,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2 Turbo,210000,4,Tiptronic,Rear,4,Left,Black,8
549,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0,8,Automatic,4x4,4,Left,White,0
30,0,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,169000,4,Automatic,Front,4,Left,White,8
14454,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787,4,Automatic,Front,4,Left,Silver,4
12074,1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550,6,Automatic,4x4,4,Left,Blue,12
15681,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0 Turbo,180000,6,Manual,Rear,4,Left,White,4
19444,915,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056,6,Automatic,4x4,4,Left,White,12
6899,0,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000,8,Automatic,4x4,4,Left,Silver,6
125,1750,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274,6,Automatic,4x4,4,Left,White,12
24462,0,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0 Turbo,250000,6,Tiptronic,4x4,4,Left,Black,10
23235,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000,4,Automatic,Front,4,Left,Grey,4
51746,1077,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2,10200,4,Tiptronic,Front,4,Left,Red,12
